Vehicle_Type,Year_2020,Year_2021,Year_2022,Year_2023
Car,"264,120","277,066","292,631","311,914"
Dual purpose vehicle,"47,908","47,834","47,739","47,673"
Double cab pickup,"8,036","9,204","10,626","12,279"
Heavy motor car,"1,377","1,380","1,398","1,425"
Motor cycle,"103,589","107,725","112,087","116,786"
Auto cycle,"118,399","121,838","124,479","125,822"
Lorry and truck,"16,512","17,040","17,848","18,618"
Van,"29,744","30,323","30,675","31,079"
Bus,"3,101","3,151","3,177","3,225"
Tractor and dumper,"3,474","3,543","3,600","3,670"
Prime mover,"1,120","1,152","1,184","1,218"
Trailer,"2,218","2,277","2,277","2,277"
Road roller,110,110,110,110
Other,345,345,345,345
